用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例
1,超星课程学习平台(#1),/任务(#1),功能能够成功实现，并且交互友好,任务-签到,网络良好,点击签到,签到成功,提示“签到”成功,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
2,超星课程学习平台(#2),/任务(#2),功能能够成功实现，并且交互友好,任务-签到,网络良好,连续点击签到,已签到,提示“已签到”,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
3,超星课程学习平台(#3),/任务(#3),功能能够成功实现，并且交互友好,任务-投票/问卷,网络良好,点击投票,投票成功,提示“投票成功”,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
4,超星课程学习平台(#4),/任务(#4),功能能够成功实现，并且交互友好,任务-投票/问卷,网络良好,连续多次点击投票,您已投票,提示“已投票”,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
5,超星课程学习平台(#5),/任务(#5),功能能够成功实现，并且交互友好,任务-抢答,网络良好,点击进行抢答,成功抢答,提示“抢答成功”,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
6,超星课程学习平台(#6),/任务(#6),功能能够成功实现，并且交互友好,任务-抢答,网络良好,再次点击进行抢答,已抢答,提示“已抢答”,点击,1,功能测试,"
功能测试阶段",正常,1,0,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
7,超星课程学习平台(#7),/任务(#7),功能能够成功实现，并且交互友好,任务-选人,网络良好,点击按钮,点击成功,提示“已点击”,点击,1,功能测试,"
功能测试阶段",正常,1,0,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
8,超星课程学习平台(#8),/任务(#8),功能能够成功实现，并且交互友好,任务-选人,网络良好,不点击按钮,无任何反馈,无任何反馈,点击,1,功能测试,"
功能测试阶段",正常,1,0,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
9,超星课程学习平台(#9),/考试(#9),功能能够成功实现，并且交互友好,考试-选择题,网络良好,点击选项按钮,选项按钮状态改变,选项按钮状态改变,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
10,超星课程学习平台(#10),/考试(#10),功能能够成功实现，并且交互友好,考试-选择题,网络良好,点击不同的选项按钮,最后点击的按钮状态改变,最后点击的按钮状态改变,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
11,超星课程学习平台(#11),/考试(#11),功能能够成功实现，并且交互友好,考试-选择题,网络良好,不点击选择按钮,提交时会提醒未答题,提交时提醒未答题,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
12,超星课程学习平台(#12),/考试(#12),功能能够成功实现，并且交互友好,考试-提交,网络良好,点击提交,提交成功,提交成功,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
13,超星课程学习平台(#13),/考试(#13),功能能够成功实现，并且交互友好,考试-提交,网络良好,多次点击提交,后续提交会提示“已提交”,后续提交提示“已提交”,点击,1,功能测试,"
功能测试阶段",正常,0,1,1,通过,刘俊傲,2019.4.19,2019.4.19,2019.4.19,1,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
